{'CVE-2010-1637'},CVE-2010-1637
{'malware--8f460983-1bbb-4e7e-8094-f0b5e720f658'},malware--8f460983-1bbb-4e7e-8094-f0b5e720f658
{'M-CWE_597'},M-CWE_597
{'CVE-2000-1212'},CVE-2000-1212
{'AP_120'},AP_120
{'attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62'},attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62
{'attack-pattern--52f3d5a6-8a0f-4f82-977e-750abf90d0b0'},attack-pattern--52f3d5a6-8a0f-4f82-977e-750abf90d0b0
{'course-of-action--f2dcee22-c275-405e-87fd-48630a19dfba'},course-of-action--f2dcee22-c275-405e-87fd-48630a19dfba
{'CVE-2002-0106'},CVE-2002-0106
{'det-attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d'},det-attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d
{'attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56'},attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56
{'M-CWE_575'},M-CWE_575
{'attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce'},attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce
{'CWE_642'},CWE_642
{'CVE-2004-0696'},CVE-2004-0696
{'CVE-2012-5811'},CVE-2012-5811
{'CVE-2008-2951'},CVE-2008-2951
{'det-0-CWE_787'},det-0-CWE_787
{'course-of-action--92e6d080-ca3f-4f95-bc45-172a32c4e502'},course-of-action--92e6d080-ca3f-4f95-bc45-172a32c4e502
{'CVE-2006-4574'},CVE-2006-4574
{'attack-pattern--6e6845c2-347a-4a6f-a2d1-b74a18ebd352'},attack-pattern--6e6845c2-347a-4a6f-a2d1-b74a18ebd352
{'M-CWE_321'},M-CWE_321
{'det-1-CWE_311'},det-1-CWE_311
{'AP_228'},AP_228
{'course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463'},course-of-action--b9f0c069-abbe-4a07-a245-2481219a1463
{'course-of-action--51b37302-b844-4c08-ac98-ae6955ed1f55'},course-of-action--51b37302-b844-4c08-ac98-ae6955ed1f55
{'CVE-2010-0258'},CVE-2010-0258
{'malware--d6b3fcd0-1c86-4350-96f0-965ed02fcc51'},malware--d6b3fcd0-1c86-4350-96f0-965ed02fcc51
{'AP_426'},AP_426
{'M-CWE_499'},M-CWE_499
{'CVE-2005-1784'},CVE-2005-1784
{'CVE-2002-1357'},CVE-2002-1357
{'CVE-2004-1104'},CVE-2004-1104
{'AP_390'},AP_390
{'CVE-2002-0971'},CVE-2002-0971
{'attack-pattern--dd43c543-bb85-4a6f-aa6e-160d90d06a49'},attack-pattern--dd43c543-bb85-4a6f-aa6e-160d90d06a49
{'CWE_241'},CWE_241
{'det-attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b'},det-attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
{'CWE_59'},CWE_59
{'det-AP_16'},det-AP_16
{'CWE_1058'},CWE_1058
{'det-attack-pattern--b200542e-e877-4395-875b-cf1a44537ca4'},det-attack-pattern--b200542e-e877-4395-875b-cf1a44537ca4
{'det-attack-pattern--c48a67ee-b657-45c1-91bf-6cdbe27205f8'},det-attack-pattern--c48a67ee-b657-45c1-91bf-6cdbe27205f8
{'det-2-CWE_190'},det-2-CWE_190
{'CWE_775'},CWE_775
{'CWE_1115'},CWE_1115
{'CVE-2005-1645'},CVE-2005-1645
{'attack-pattern--a750a9f6-0bde-4bb3-9aae-1e2786e9780c'},attack-pattern--a750a9f6-0bde-4bb3-9aae-1e2786e9780c
{'CVE-2008-5285'},CVE-2008-5285
{'CWE_25'},CWE_25
{'CWE_455'},CWE_455
{'CVE-2009-0964'},CVE-2009-0964
{'CVE-2005-2162'},CVE-2005-2162
{'CWE_724'},CWE_724
{'CVE-2008-1737'},CVE-2008-1737
{'AP_158'},AP_158
{'CVE-2004-0030'},CVE-2004-0030
{'M-CWE_476'},M-CWE_476
{'malware--53486bc7-7748-4716-8190-e4f1fde04c53'},malware--53486bc7-7748-4716-8190-e4f1fde04c53
{'CWE_477'},CWE_477
{'det-attack-pattern--8f104855-e5b7-4077-b1f5-bc3103b41abe'},det-attack-pattern--8f104855-e5b7-4077-b1f5-bc3103b41abe
{'M-CWE_565'},M-CWE_565
{'AP_92'},AP_92
{'det-2-CWE_307'},det-2-CWE_307
{'CWE_483'},CWE_483
{'M-CWE_333'},M-CWE_333
{'CVE-2005-0254'},CVE-2005-0254
{'CWE_218'},CWE_218
{'CVE-2009-3489'},CVE-2009-3489
{'CVE-2004-0413'},CVE-2004-0413
{'CWE_1100'},CWE_1100
{'intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d'},intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d
{'det-1-CWE_295'},det-1-CWE_295
{'attack-pattern--b6075259-dba3-44e9-87c7-e954f37ec0d5'},attack-pattern--b6075259-dba3-44e9-87c7-e954f37ec0d5
{'M-CWE_603'},M-CWE_603
{'attack-pattern--ebbe170d-aa74-4946-8511-9921243415a3'},attack-pattern--ebbe170d-aa74-4946-8511-9921243415a3
{'CWE_466'},CWE_466
{'det-6-CWE_287'},det-6-CWE_287
{'CVE-2002-1711'},CVE-2002-1711
{'CVE-2008-2108'},CVE-2008-2108
{'course-of-action--b52f41b9-ccf6-4da7-a6c0-167eeb71fbd8'},course-of-action--b52f41b9-ccf6-4da7-a6c0-167eeb71fbd8
{'det-attack-pattern--e0033c16-a07e-48aa-8204-7c3ca669998c'},det-attack-pattern--e0033c16-a07e-48aa-8204-7c3ca669998c
{'course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f'},course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f
{'CVE-2005-2090'},CVE-2005-2090
{'AP_604'},AP_604
{'M-CWE_572'},M-CWE_572
{'CVE-2002-1694'},CVE-2002-1694
{'det-6-CWE_862'},det-6-CWE_862
{'CVE-2002-1730'},CVE-2002-1730
{'course-of-action--57019a80-8523-46b6-be7d-f763a15a2cc6'},course-of-action--57019a80-8523-46b6-be7d-f763a15a2cc6
{'CVE-2007-4277'},CVE-2007-4277
{'det-4-CWE_916'},det-4-CWE_916
{'CVE-2005-0039'},CVE-2005-0039
{'CWE_363'},CWE_363
{'AP_649'},AP_649
{'CVE-2002-1575'},CVE-2002-1575
{'CVE-2002-0422'},CVE-2002-0422
{'det-7-CWE_306'},det-7-CWE_306
{'CVE-2007-5741'},CVE-2007-5741
{'AP_100'},AP_100
{'det-attack-pattern--f9e9365a-9ca2-4d9c-8e7c-050d73d1101a'},det-attack-pattern--f9e9365a-9ca2-4d9c-8e7c-050d73d1101a
{'attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08'},attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08
{'CVE-2010-3402'},CVE-2010-3402
{'det-AP_69'},det-AP_69
{'CWE_294'},CWE_294
{'malware--e066bf86-9cfb-407a-9d25-26fd5d91e360'},malware--e066bf86-9cfb-407a-9d25-26fd5d91e360
{'malware--5e814485-012d-423d-b769-026bfed0f451'},malware--5e814485-012d-423d-b769-026bfed0f451
{'CVE-2009-3611'},CVE-2009-3611
{'malware--58adaaa8-f1e8-4606-9a08-422e568461eb'},malware--58adaaa8-f1e8-4606-9a08-422e568461eb
{'CVE-2003-1201'},CVE-2003-1201
{'attack-pattern--44dca04b-808d-46ca-b25f-d85236d4b9f8'},attack-pattern--44dca04b-808d-46ca-b25f-d85236d4b9f8
{'CVE-2001-1481'},CVE-2001-1481
{'M-CWE_806'},M-CWE_806
{'course-of-action--752db800-ea54-4e7a-b4c1-2a0292350ea7'},course-of-action--752db800-ea54-4e7a-b4c1-2a0292350ea7
{'M-CWE_760'},M-CWE_760
{'CVE-1999-1156'},CVE-1999-1156
{'det-7-CWE_285'},det-7-CWE_285
{'intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9'},intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9
{'M-CWE_326'},M-CWE_326
{'CVE-2002-1770'},CVE-2002-1770
{'course-of-action--8ca6a5e0-aae5-49bc-8d07-f888c7dba9ea'},course-of-action--8ca6a5e0-aae5-49bc-8d07-f888c7dba9ea
{'CVE-2003-1181'},CVE-2003-1181
{'CyberAction'},CyberAction
{'malware--0ced8926-914e-4c78-bc93-356fb90dbd1f'},malware--0ced8926-914e-4c78-bc93-356fb90dbd1f
{'det-attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2'},det-attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
{'AP_407'},AP_407
{'attack-pattern--58af3705-8740-4c68-9329-ec015a7013c2'},attack-pattern--58af3705-8740-4c68-9329-ec015a7013c2
{'M-CWE_617'},M-CWE_617
{'course-of-action--c61fee9f-16fb-4f8c-bbf0-869093fcd4a6'},course-of-action--c61fee9f-16fb-4f8c-bbf0-869093fcd4a6
{'CVE-2002-1345'},CVE-2002-1345
{'det-AP_72'},det-AP_72
{'CWE_195'},CWE_195
{'M-CWE_599'},M-CWE_599
{'CWE_74'},CWE_74
{'CVE-2005-0587'},CVE-2005-0587
{'CVE-2002-0903'},CVE-2002-0903
{'CWE_98'},CWE_98
{'attack-pattern--e906ae4d-1d3a-4675-be23-22f7311c0da4'},attack-pattern--e906ae4d-1d3a-4675-be23-22f7311c0da4
{'attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65'},attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65
{'CVE-2001-0081'},CVE-2001-0081
{'AP_423'},AP_423
