root,tail,path,prob
CTIKG#ObservedData,CTIKG#ObservedData,['CTIKG#ObservedData'],1
CTIKG#ObservedData,CTIKG#AttackPattern,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern']",1.0
CTIKG#ObservedData,CTIKG#indicates,"['CTIKG#ObservedData', ['CTIKG#indicates', 1.0], 'CTIKG#AttackPattern']",1.0
CTIKG#ObservedData,CTIKG#Vulnerability,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability']",0.1111111111111111
CTIKG#ObservedData,CTIKG#targets,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ['CTIKG#targets', 1.0], 'CTIKG#Vulnerability']",1.0
CTIKG#ObservedData,CTIKG#ApplicablePlatforms,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms']",0.006172839506172839
CTIKG#ObservedData,CTIKG#based-on,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ['CTIKG#based-on', 1.0], 'CTIKG#ApplicablePlatforms']",0.1111111111111111
CTIKG#ObservedData,CTIKG#Vulnerability,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Vulnerability']",0.00017146776406035664
CTIKG#ObservedData,CTIKG#has,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ['CTIKG#has', 1.0], 'CTIKG#Vulnerability']",0.006172839506172839
CTIKG#ObservedData,CTIKG#Weakness,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Vulnerability', ('CTIKG#derived-from', 0.013888888888888888), 'CTIKG#Weakness']",2.3814967230605087e-06
CTIKG#ObservedData,CTIKG#derived-from,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Vulnerability', ['CTIKG#derived-from', 1.0], 'CTIKG#Weakness']",0.00017146776406035664
CTIKG#ObservedData,CTIKG#ApplicablePlatforms,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Vulnerability', ('CTIKG#derived-from', 0.013888888888888888), 'CTIKG#Weakness', ('CTIKG#based-on', 0.013888888888888888), 'CTIKG#ApplicablePlatforms']",3.3076343375840395e-08
CTIKG#ObservedData,CTIKG#based-on,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Vulnerability', ('CTIKG#derived-from', 0.013888888888888888), 'CTIKG#Weakness', ['CTIKG#based-on', 1.0], 'CTIKG#ApplicablePlatforms']",2.3814967230605087e-06
CTIKG#ObservedData,CTIKG#Weakness,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Vulnerability', ('CTIKG#derived-from', 0.013888888888888888), 'CTIKG#Weakness', ('CTIKG#based-on', 0.013888888888888888), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.006944444444444444), 'CTIKG#Weakness']",2.2969682899889162e-10
CTIKG#ObservedData,CTIKG#has,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability', ('CTIKG#based-on', 0.05555555555555555), 'CTIKG#ApplicablePlatforms', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Vulnerability', ('CTIKG#derived-from', 0.013888888888888888), 'CTIKG#Weakness', ('CTIKG#based-on', 0.013888888888888888), 'CTIKG#ApplicablePlatforms', ['CTIKG#has', 1.0], 'CTIKG#Weakness']",3.3076343375840395e-08
CTIKG#ObservedData,CTIKG#Weakness,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#has', 0.027777777777777776), 'CTIKG#Weakness']",0.027777777777777776
CTIKG#ObservedData,CTIKG#has,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ['CTIKG#has', 1.0], 'CTIKG#Weakness']",1.0
CTIKG#ObservedData,CTIKG#Weakness,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#derived-from', 0.05555555555555555), 'CTIKG#Weakness']",0.05555555555555555
CTIKG#ObservedData,CTIKG#derived-from,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ['CTIKG#derived-from', 1.0], 'CTIKG#Weakness']",1.0
CTIKG#ObservedData,CTIKG#Tool,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#uses', 0.1111111111111111), 'CTIKG#Tool']",0.1111111111111111
CTIKG#ObservedData,CTIKG#uses,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ['CTIKG#uses', 1.0], 'CTIKG#Tool']",1.0
CTIKG#ObservedData,CTIKG#Vulnerability,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#uses', 0.1111111111111111), 'CTIKG#Tool', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Vulnerability']",0.012345679012345678
CTIKG#ObservedData,CTIKG#targets,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#uses', 0.1111111111111111), 'CTIKG#Tool', ['CTIKG#targets', 1.0], 'CTIKG#Vulnerability']",0.1111111111111111
CTIKG#ObservedData,CTIKG#Software,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Software']",0.1111111111111111
CTIKG#ObservedData,CTIKG#targets,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ['CTIKG#targets', 1.0], 'CTIKG#Software']",1.0
CTIKG#ObservedData,CTIKG#Tool,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Software', ('owl#intersectionOf', 0.1111111111111111), 'CTIKG#Tool']",0.012345679012345678
CTIKG#ObservedData,owl#intersectionOf,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#targets', 0.1111111111111111), 'CTIKG#Software', ['owl#intersectionOf', 1.0], 'CTIKG#Tool']",0.1111111111111111
CTIKG#ObservedData,CTIKG#Malware,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#uses', 0.1111111111111111), 'CTIKG#Malware']",0.1111111111111111
CTIKG#ObservedData,CTIKG#uses,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ['CTIKG#uses', 1.0], 'CTIKG#Malware']",1.0
CTIKG#ObservedData,CTIKG#Vulnerability,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#uses', 0.1111111111111111), 'CTIKG#Malware', ('CTIKG#targets', 0.013888888888888888), 'CTIKG#Vulnerability']",0.0015432098765432098
CTIKG#ObservedData,CTIKG#targets,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#uses', 0.1111111111111111), 'CTIKG#Malware', ['CTIKG#targets', 1.0], 'CTIKG#Vulnerability']",0.1111111111111111
CTIKG#ObservedData,CTIKG#ApplicablePlatforms,"['CTIKG#ObservedData', ('CTIKG#indicates', 1.0), 'CTIKG#AttackPattern', ('CTIKG#uses', 0.1111111111111111), 'CTIKG#Malware', ('CTIKG#based-on', 0.013888888888888888), 'CTIKG#ApplicablePlatforms']",0.0015432098765432098
